iter	Passed	Remaining
400	22053	7699
401	22133	7653
402	22182	7595
403	22292	7559
404	22302	7489
405	22315	7420
406	22326	7350
407	22339	7282
408	22422	7236
409	22436	7168
410	22505	7118
411	22519	7050
412	22529	6982
413	22602	6933
414	22688	6888
415	22744	6834
416	22839	6791
417	22910	6741
418	22925	6675
419	23008	6628
420	23023	6562
421	23102	6514
422	23116	6448
423	23220	6407
424	23296	6358
425	23370	6309
426	23414	6251
427	23510	6207
428	23635	6170
429	23701	6118
430	23800	6074
431	23897	6029
432	23910	5963
433	23923	5898
434	24040	5858
435	24131	5811
436	24199	5759
437	24266	5706
438	24277	5640
439	24361	5592
440	24375	5527
441	24390	5462
442	24563	5434
443	24576	5369
444	24638	5315
445	24652	5251
446	24760	5206
447	24865	5161
448	24985	5119
449	25023	5060
450	25100	5008
451	25220	4965
452	25233	4901
453	25372	4862
454	25423	4805
455	25499	4753
456	25575	4700
457	25610	4641
458	25678	4587
459	25801	4543
460	25876	4490
461	25914	4431
462	26006	4381
463	26101	4331
464	26112	4267
465	26200	4216
466	26257	4160
467	26324	4106
468	26365	4047
469	26408	3989
470	26464	3933
471	26580	3885
472	26631	3828
473	26760	3782
474	26802	3724
475	26864	3668
476	26908	3610
477	26974	3555
478	27030	3498
479	27096	3443
480	27186	3391
481	27247	3335
482	27331	3282
483	27378	3224
484	27394	3163
485	27434	3104
486	27525	3052
487	27637	3001
488	27648	2940
489	27820	2895
490	27831	2834
491	27900	2778
492	28003	2726
493	28065	2670
494	28145	2615
495	28255	2563
496	28392	2513
497	28455	2456
498	28470	2396
499	28511	2337
500	28609	2284
501	28810	2238
502	28821	2177
503	28984	2127
504	29035	2069
505	29137	2015
506	29199	1958
507	29255	1900
508	29333	1844
509	29380	1785
510	29397	1725
511	29453	1668
512	29502	1610
513	29515	1550
514	29565	1492
515	29627	1435
516	29712	1379
517	29782	1322
518	29831	1264
519	29889	1207
520	29933	1149
521	29983	1091
522	29994	1032
523	30066	975
524	30164	919
525	30226	861
526	30273	804
527	30326	746
528	30394	689
529	30432	631
530	30503	574
531	30607	517
532	30739	461
533	30877	404
534	30910	346
535	30949	288
536	30998	230
537	31051	173
538	31094	115
539	31217	57
540	31231	0
